,pvalue
TP53,3.299188621867786e-13
MYC,6.117087709988623e-08
GNAS,1.0342010352835822e-06
ERBB2,1.5797715481566969e-06
CACNA1F,2.3356121634643713e-06
FGFR3,4.229154762990287e-06
AKT3,8.505389514368392e-06
BRAF,1.7066180356253253e-05
RB1,2.3260867289737282e-05
MPL,2.517512737101829e-05
AKT1,5.4254500224878446e-05
FANCA,6.986605277005631e-05
CACNA1S,6.986605277005631e-05
CCNE1,9.06523323041394e-05
CCR7,0.00011261942294116852
CDKN2A,0.00012323758215331332
MACF1,0.0001466411410908578
EGFR,0.00016506223999506172
JAK1,0.00023750431209379344
SRSF2,0.0003123839287692748
LAMB4,0.0003593465272310371
STK11,0.0003593465272310371
BRCA1,0.0004102665673550773
ANAPC5,0.00046961492028407473
SPOP,0.0005785919307954281
TLN1,0.0006547242023842058
CARD11,0.0006547242023842058
COL4A6,0.0009394943413360293
SETDB1,0.0009394943413360293
ARID4B,0.0009394943413360293
KIT,0.0010738698852869003
BRCA2,0.0011533930189930276
NCOA3,0.0012284401263216794
RARB,0.001314620218176666
CLASP2,0.001314620218176666
BCL2,0.0016873111467916257
MYB,0.0018351489289353004
EZH2,0.0018351489289353004
LAMB1,0.0018351489289353004
IDH2,0.002203416738473632
SKP2,0.0025197491566643967
DDX3X,0.0028398394650670385
ROCK2,0.0028398394650670385
TNFAIP3,0.0028398394650670385
STAT4,0.0028398394650670385
NCF2,0.0028398394650670385
GATA2,0.0028398394650670385
TNKS1BP1,0.0028398394650670385
IGF1R,0.0032237159582779572
ARID1B,0.003409356861282345
TERT,0.003409356861282345
ZNF292,0.0035532157137437314
SMO,0.004792161381056228
MYO5A,0.005243568322569292
PCSK5,0.005243568322569292
ROBO2,0.005243568322569292
FANCD2,0.005243568322569292
MAP2K4,0.0056960833108753795
AKT2,0.005854781640114854
PTEN,0.006281950911916725
BAZ2B,0.007140923247874617
PKLR,0.007450452164230256
POLE,0.008493369599916858
TNN,0.008493369599916858
TRIO,0.008493369599916858
NOTCH4,0.008493369599916858
H3F3A,0.00909293308232305
ERCC6,0.010007845780542464
IKBKB,0.010737763307018507
IDH1,0.012265672516862352
PARP4,0.012265672516862352
ASH1L,0.01317352342276812
MED12,0.01317352342276812
BCOR,0.01317352342276812
RAD21,0.014486092429275543
PGR,0.014486092429275543
RPS6KA6,0.014486092429275543
SMC1B,0.014486092429275543
FZD3,0.014486092429275543
FAT4,0.01772511671308472
FLT3,0.01772511671308472
CHD4,0.01772511671308472
SMAD4,0.01772511671308472
RPTOR,0.018669833303781927
RELN,0.01999296084176493
ATRX,0.022367579157316197
ANK3,0.022367579157316197
FBXW7,0.022367579157316197
PIAS2,0.0244355829889284
HNF1A,0.0244355829889284
EXT2,0.0244355829889284
PAX5,0.0244355829889284
TJP1,0.0244355829889284
ELN,0.0244355829889284
IL12RB1,0.0244355829889284
TRAF7,0.0244355829889284
SF3B1,0.02622166429607271
DCC,0.02721643403094361
CYLD,0.02721643403094361
HSPG2,0.02721643403094361
KDM6A,0.03035768197652048
ATM,0.0310106582939286
JAK2,0.031592774601578215
TP53BP1,0.0346526605992493
PBRM1,0.0346526605992493
CAD,0.0346526605992493
JAK3,0.036959573673302284
NFE2L1,0.04019073457572442
KL,0.04019073457572442
PLD1,0.04019073457572442
ACVR1B,0.04019073457572442
LIMA1,0.04019073457572442
MYCN,0.04019073457572442
ACTN4,0.04019073457572442
TSC1,0.04019073457572442
ZFP36L2,0.04019073457572442
TFE3,0.04019073457572442
LAMB2,0.04019073457572442
RICTOR,0.04019073457572442
MSH2,0.04019073457572442
PTPRM,0.04019073457572442
ACVR2A,0.04019073457572442
AFF1,0.04019073457572442
ITK,0.04019073457572442
MDM4,0.044242538340828745
NCOR1,0.04532491058021888
MDM2,0.04905971212621092
UBR5,0.049910011580303636
